5. Èþíü 2011 | 21:37:21 | - HealthHack = 0
5. Èþíü 2011 | 21:37:21 | - ArmourHack = 0
5. Èþíü 2011 | 21:37:21 | - DriveBy = 1
5. Èþíü 2011 | 21:37:21 | - Spam = 1
5. Èþíü 2011 | 21:37:21 | - CommandSpam = 1
5. Èþíü 2011 | 21:37:21 | - BadWords = 1
5. Èþíü 2011 | 21:37:21 | - CarJackHack = 1
5. Èþíü 2011 | 21:37:21 | - TeleportHack = 1
5. Èþíü 2011 | 21:37:21 | - MaxPing = 500
5. Èþíü 2011 | 21:37:21 | - SpectateHack = 1
5. Èþíü 2011 | 21:37:21 | - Blacklist = 1
5. Èþíü 2011 | 21:37:21 | - IpBans = 1
5. Èþíü 2011 | 21:37:21 | - TempBans = 1
5. Èþíü 2011 | 21:37:21 | - SpawnKill = 0
5. Èþíü 2011 | 21:37:21 | - CapsLock = 0
5. Èþíü 2011 | 21:37:21 | - 3DSpeed = 0
5. Èþíü 2011 | 21:37:21 | - MaxSpeed = 0
5. Èþíü 2011 | 21:37:21 | - AdminImmunity = 1
5. Èþíü 2011 | 21:37:21 | - Advertisement = 0
5. Èþíü 2011 | 21:37:21 | - FreezeUpdate = 1
5. Èþíü 2011 | 21:37:21 | - SpawnTime = 10
5. Èþíü 2011 | 21:37:21 | - CheckpointTeleport = 1
5. Èþíü 2011 | 21:37:21 | - Airbreak = 1
5. Èþíü 2011 | 21:37:21 | - TankMode = 1
5. Èþíü 2011 | 21:37:21 | - WarnPlayers = 0
5. Èþíü 2011 | 21:37:21 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 21:37:21 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 21:37:21 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 21:37:21 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 21:37:21 | 8 bad words have been loaded.
5. Èþíü 2011 | 21:37:21 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 21:37:21 | JunkBuster has been configurated.
5. Èþíü 2011 | 21:37:21 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 21:48:00 | Current JunkBuster configuration:
5. Èþíü 2011 | 21:48:00 | - WeaponHack = 1
5. Èþíü 2011 | 21:48:00 | - MoneyHack = 1
5. Èþíü 2011 | 21:48:00 | - Jetpack = 1
5. Èþíü 2011 | 21:48:00 | - HealthHack = 0
5. Èþíü 2011 | 21:48:00 | - ArmourHack = 0
5. Èþíü 2011 | 21:48:00 | - DriveBy = 1
5. Èþíü 2011 | 21:48:00 | - Spam = 1
5. Èþíü 2011 | 21:48:00 | - CommandSpam = 1
5. Èþíü 2011 | 21:48:00 | - BadWords = 1
5. Èþíü 2011 | 21:48:00 | - CarJackHack = 1
